FileName	Channel	Chem	Dose	Cond	Treatm	Name	Group
Cy3_Acro_Esfen_Ctrl_Cy5_AA_Lind_Ctrl_253100010005_1_2.txt	Cy3	Acro	Esfen	Acro_Ctrl	Ctrl	Acro_Esfen_Ctrl_Cy3_rep1	AcroEsfenCtrl
Cy3_Acro_Esfen_Ctrl_Cy5_Acro_Low_253100010014_1_1.txt	Cy3	Acro	Esfen	Acro_Ctrl	Ctrl	Acro_Esfen_Ctrl_Cy3_rep2	AcroEsfenCtrl
Cy3_Acro_Esfen_Ctrl_Cy5_Esfen_Low_253100010032_2_1.txt	Cy3	Acro	Esfen	Acro_Ctrl	Ctrl	Acro_Esfen_Ctrl_Cy3_rep3	AcroEsfenCtrl
Cy3_Acro_High_Cy5_Acro_Esfen_Ctrl_253100010016_1_3.txt	Cy5	Acro	Esfen	Acro_Ctrl	Ctrl	Acro_Esfen_Ctrl_Cy5_rep1	AcroEsfenCtrl
Cy3_DCP_Fluc_Ctrl_Cy5_Acro_Esfen_Ctrl_253100010007_1_4.txt	Cy5	Acro	Esfen	Acro_Ctrl	Ctrl	Acro_Esfen_Ctrl_Cy5_rep2	AcroEsfenCtrl
Cy3_Esfen_High_Cy5_Acro_Esfen_Ctrl_253100010034_2_3.txt	Cy5	Acro	Esfen	Acro_Ctrl	Ctrl	Acro_Esfen_Ctrl_Cy5_rep3	AcroEsfenCtrl
Cy3_Acro_Esfen_SC_Cy5_AA_Lind_SC_253100010005_1_3.txt	Cy3	Acro	Esfen	Acro_SC	SolvC	Acro_Esfen_SC_Cy3_rep1	AcroEsfenSolvC
Cy3_Acro_Esfen_SC_Cy5_Acro_High_253100010034_2_4.txt	Cy3	Acro	Esfen	Acro_SC	SolvC	Acro_Esfen_SC_Cy3_rep2	AcroEsfenSolvC
Cy3_Acro_Esfen_SC_Cy5_Esfen_High_253100010016_1_4.txt	Cy3	Acro	Esfen	Acro_SC	SolvC	Acro_Esfen_SC_Cy3_rep3	AcroEsfenSolvC
Cy3_Acro_Low_Cy5_Acro_Esfen_SC_253100010032_2_2.txt	Cy5	Acro	Esfen	Acro_SC	SolvC	Acro_Esfen_SC_Cy5_rep1	AcroEsfenSolvC
Cy3_DCP_Fluc_SC_Cy5_Acro_Esfen_SC_253100010007_2_1.txt	Cy5	Acro	Esfen	Acro_SC	SolvC	Acro_Esfen_SC_Cy5_rep2	AcroEsfenSolvC
Cy3_Esfen_Low_Cy5_Acro_Esfen_SC_253100010014_1_2.txt	Cy5	Acro	Esfen	Acro_SC	SolvC	Acro_Esfen_SC_Cy5_rep3	AcroEsfenSolvC
Cy3_DCP_High_Cy5_DCP_Fluc_Ctrl_253100010036_2_4.txt	Cy3	DCP	High	DCP_chem	chem	DCP_High_na_Cy3_rep1	DCPHighchem
Cy3_DCP_High_Cy5_Esfen_High_253100010008_1_1.txt	Cy3	DCP	High	DCP_chem	chem	DCP_High_na_Cy3_rep2	DCPHighchem
Cy3_DCP_High_Cy5_Fluc_High_253100010016_1_2.txt	Cy3	DCP	High	DCP_chem	chem	DCP_High_na_Cy3_rep3	DCPHighchem
Cy3_DCP_Low_Cy5_DCP_High_253100010007_1_3.txt	Cy5	DCP	High	DCP_chem	chem	DCP_High_na_Cy5_rep1	DCPHighchem
Cy3_DCP_Fluc_SC_Cy5_DCP_High_253100010032_1_3.txt	Cy5	DCP	High	DCP_chem	chem	DCP_High_na_Cy5_rep2	DCPHighchem
Cy3_Dino_High_Cy5_DCP_High_253100010034_1_4.txt	Cy5	DCP	High	DCP_chem	chem	DCP_High_na_Cy5_rep3	DCPHighchem
Cy3_DCP_Low_Cy5_DCP_Fluc_SC_253100010016_1_1.txt	Cy3	DCP	Low	DCP_chem	chem	DCP_Low_na_Cy3_rep1	DCPLowchem
