File	Channel	Chem	Dose	Treatm	Name
Cy3_Acro_Low_Cy5_AA_Low_253100010035_1_1.txt	Cy5	AA	Low	na	AA_Low_na_Cy5_rep3
Cy3_Acro_Esfen_Ctrl_Cy5_AA_Lind_Ctrl_253100010005_1_2.txt	Cy3	Acro	Esfen	Ctrl	Acro_Esfen_Ctrl_Cy3_rep1
Cy3_Acro_Esfen_Ctrl_Cy5_Acro_Low_253100010014_1_1.txt	Cy3	Acro	Esfen	Ctrl	Acro_Esfen_Ctrl_Cy3_rep2
Cy3_Acro_Esfen_Ctrl_Cy5_Esfen_Low_253100010032_2_1.txt	Cy3	Acro	Esfen	Ctrl	Acro_Esfen_Ctrl_Cy3_rep3
Cy3_Acro_High_Cy5_Acro_Esfen_Ctrl_253100010016_1_3.txt	Cy5	Acro	Esfen	Ctrl	Acro_Esfen_Ctrl_Cy5_rep1
Cy3_DCP_Fluc_Ctrl_Cy5_Acro_Esfen_Ctrl_253100010007_1_4.txt	Cy5	Acro	Esfen	Ctrl	Acro_Esfen_Ctrl_Cy5_rep2
Cy3_Esfen_High_Cy5_Acro_Esfen_Ctrl_253100010034_2_3.txt	Cy5	Acro	Esfen	Ctrl	Acro_Esfen_Ctrl_Cy5_rep3
Cy3_Acro_Esfen_SC_Cy5_AA_Lind_SC_253100010005_1_3.txt	Cy3	Acro	Esfen	SC	Acro_Esfen_SC_Cy3_rep1
Cy3_Acro_Esfen_SC_Cy5_Acro_High_253100010034_2_4.txt	Cy3	Acro	Esfen	SC	Acro_Esfen_SC_Cy3_rep2
Cy3_Acro_Esfen_SC_Cy5_Esfen_High_253100010016_1_4.txt	Cy3	Acro	Esfen	SC	Acro_Esfen_SC_Cy3_rep3
Cy3_Acro_Low_Cy5_Acro_Esfen_SC_253100010032_2_2.txt	Cy5	Acro	Esfen	SC	Acro_Esfen_SC_Cy5_rep1
Cy3_DCP_Fluc_SC_Cy5_Acro_Esfen_SC_253100010007_2_1.txt	Cy5	Acro	Esfen	SC	Acro_Esfen_SC_Cy5_rep2
Cy3_Esfen_Low_Cy5_Acro_Esfen_SC_253100010014_1_2.txt	Cy5	Acro	Esfen	SC	Acro_Esfen_SC_Cy5_rep3
Cy3_Acro_High_Cy5_AA_High_253100010032_2_3.txt	Cy3	Acro	High	na	Acro_High_na_Cy3_rep1
Cy3_Acro_High_Cy5_Acro_Esfen_Ctrl_253100010016_1_3.txt	Cy3	Acro	High	na	Acro_High_na_Cy3_rep2
Cy3_Acro_High_Cy5_Acro_Low_253100010018_1_1.txt	Cy3	Acro	High	na	Acro_High_na_Cy3_rep3
Cy3_Fluc_High_Cy5_Acro_High_253100010007_2_3.txt	Cy5	Acro	High	na	Acro_High_na_Cy5_rep1
Cy3_Esfen_High_Cy5_Acro_High_253100010014_1_3.txt	Cy5	Acro	High	na	Acro_High_na_Cy5_rep2
Cy3_Acro_Esfen_SC_Cy5_Acro_High_253100010034_2_4.txt	Cy5	Acro	High	na	Acro_High_na_Cy5_rep3
Cy3_Acro_Low_Cy5_AA_Low_253100010035_1_1.txt	Cy3	Acro	Low	na	Acro_Low_na_Cy3_rep1
Cy3_Acro_Low_Cy5_Acro_Esfen_SC_253100010032_2_2.txt	Cy3	Acro	Low	na	Acro_Low_na_Cy3_rep2
Cy3_Acro_Low_Cy5_Esfen_Low_253100010016_2_1.txt	Cy3	Acro	Low	na	Acro_Low_na_Cy3_rep3
Cy3_Fluc_Low_Cy5_Acro_Low_253100010007_2_2.txt	Cy5	Acro	Low	na	Acro_Low_na_Cy5_rep1
Cy3_Acro_Esfen_Ctrl_Cy5_Acro_Low_253100010014_1_1.txt	Cy5	Acro	Low	na	Acro_Low_na_Cy5_rep2
Cy3_Acro_High_Cy5_Acro_Low_253100010018_1_1.txt	Cy5	Acro	Low	na	Acro_Low_na_Cy5_rep3
Cy3_DCP_Fluc_Ctrl_Cy5_Acro_Esfen_Ctrl_253100010007_1_4.txt	Cy3	DCP	Fluc	Ctrl	DCP_Fluc_Ctrl_Cy3_rep1
Cy3_DCP_Fluc_Ctrl_Cy5_DCP_Low_253100010034_2_1.txt	Cy3	DCP	Fluc	Ctrl	DCP_Fluc_Ctrl_Cy3_rep2
Cy3_DCP_Fluc_Ctrl_Cy5_Fluc_Low_253100010023_2_4.txt	Cy3	DCP	Fluc	Ctrl	DCP_Fluc_Ctrl_Cy3_rep3
Cy3_DCP_High_Cy5_DCP_Fluc_Ctrl_253100010036_2_4.txt	Cy5	DCP	Fluc	Ctrl	DCP_Fluc_Ctrl_Cy5_rep1
Cy3_DMP_Dino_Ctrl_Cy5_DCP_Fluc_Ctrl_253100010006_2_2.txt	Cy5	DCP	Fluc	Ctrl	DCP_Fluc_Ctrl_Cy5_rep2
Cy3_Fluc_High_Cy5_DCP_Fluc_Ctrl_253100010032_1_2.txt	Cy5	DCP	Fluc	Ctrl	DCP_Fluc_Ctrl_Cy5_rep3
Cy3_DCP_Fluc_SC_Cy5_Acro_Esfen_SC_253100010007_2_1.txt	Cy3	DCP	Fluc	SC	DCP_Fluc_SC_Cy3_rep1
Cy3_DCP_Fluc_SC_Cy5_DCP_High_253100010032_1_3.txt	Cy3	DCP	Fluc	SC	DCP_Fluc_SC_Cy3_rep2
Cy3_DCP_Fluc_SC_Cy5_Fluc_High_253100010009_2_4.txt	Cy3	DCP	Fluc	SC	DCP_Fluc_SC_Cy3_rep3
Cy3_DCP_Low_Cy5_DCP_Fluc_SC_253100010016_1_1.txt	Cy5	DCP	Fluc	SC	DCP_Fluc_SC_Cy5_rep1
Cy3_DMP_Dino_SC_Cy5_DCP_Fluc_SC_253100010006_2_3.txt	Cy5	DCP	Fluc	SC	DCP_Fluc_SC_Cy5_rep2
Cy3_Fluc_Low_Cy5_DCP_Fluc_SC_253100010034_2_2.txt	Cy5	DCP	Fluc	SC	DCP_Fluc_SC_Cy5_rep3
Cy3_DCP_High_Cy5_DCP_Fluc_Ctrl_253100010036_2_4.txt	Cy3	DCP	High	na	DCP_High_na_Cy3_rep1
Cy3_DCP_High_Cy5_Esfen_High_253100010008_1_1.txt	Cy3	DCP	High	na	DCP_High_na_Cy3_rep2
Cy3_DCP_High_Cy5_Fluc_High_253100010016_1_2.txt	Cy3	DCP	High	na	DCP_High_na_Cy3_rep3
Cy3_DCP_Low_Cy5_DCP_High_253100010007_1_3.txt	Cy5	DCP	High	na	DCP_High_na_Cy5_rep1
Cy3_DCP_Fluc_SC_Cy5_DCP_High_253100010032_1_3.txt	Cy5	DCP	High	na	DCP_High_na_Cy5_rep2
Cy3_Dino_High_Cy5_DCP_High_253100010034_1_4.txt	Cy5	DCP	High	na	DCP_High_na_Cy5_rep3
Cy3_DCP_Low_Cy5_DCP_Fluc_SC_253100010016_1_1.txt	Cy3	DCP	Low	na	DCP_Low_na_Cy3_rep1
Cy3_DCP_Low_Cy5_DCP_High_253100010007_1_3.txt	Cy3	DCP	Low	na	DCP_Low_na_Cy3_rep2
Cy3_DCP_Low_Cy5_Esfen_Low_253100010007_2_4.txt	Cy3	DCP	Low	na	DCP_Low_na_Cy3_rep3
Cy3_Fluc_Low_Cy5_DCP_Low_253100010032_1_4.txt	Cy5	DCP	Low	na	DCP_Low_na_Cy5_rep1
Cy3_DCP_Fluc_Ctrl_Cy5_DCP_Low_253100010034_2_1.txt	Cy5	DCP	Low	na	DCP_Low_na_Cy5_rep2
Cy3_Dino_Low_Cy5_DCP_Low_253100010036_2_3.txt	Cy5	DCP	Low	na	DCP_Low_na_Cy5_rep3
Cy3_DEP_High_Cy5_DEP_Low_253100010006_1_2.txt	Cy3	DEP	High	na	DEP_High_na_Cy3_rep1
Cy3_DEP_High_Cy5_DEP_Perm_Ctrl_253100010017_1_1.txt	Cy3	DEP	High	na	DEP_High_na_Cy3_rep2
Cy3_DEP_High_Cy5_SDS_High_253100010033_2_1.txt	Cy3	DEP	High	na	DEP_High_na_Cy3_rep3
Cy3_Perm_High_Cy5_DEP_High_253100010009_2_2.txt	Cy5	DEP	High	na	DEP_High_na_Cy5_rep1
Cy3_AA_High_Cy5_DEP_High_253100010018_1_3.txt	Cy5	DEP	High	na	DEP_High_na_Cy5_rep2
Cy3_DEP_Perm_SC_Cy5_DEP_High_253100010035_2_2.txt	Cy5	DEP	High	na	DEP_High_na_Cy5_rep3
Cy3_DEP_Low_Cy5_DEP_Perm_SC_253100010033_1_4.txt	Cy3	DEP	Low	na	DEP_Low_na_Cy3_rep1
Cy3_DEP_Low_Cy5_Perm_Low_253100010017_1_3.txt	Cy3	DEP	Low	na	DEP_Low_na_Cy3_rep2
Cy3_DEP_Low_Cy5_SDS_Low_253100010035_2_3.txt	Cy3	DEP	Low	na	DEP_Low_na_Cy3_rep3
Cy3_DEP_High_Cy5_DEP_Low_253100010006_1_2.txt	Cy5	DEP	Low	na	DEP_Low_na_Cy5_rep1
Cy3_AA_Low_Cy5_DEP_Low_253100010008_1_4.txt	Cy5	DEP	Low	na	DEP_Low_na_Cy5_rep2
Cy3_DEP_Perm_Ctrl_Cy5_DEP_Low_253100010014_2_3.txt	Cy5	DEP	Low	na	DEP_Low_na_Cy5_rep3
Cy3_DEP_Perm_Ctrl_Cy5_DEP_Low_253100010014_2_3.txt	Cy3	DEP	Perm	Ctrl	DEP_Perm_Ctrl_Cy3_rep1
Cy3_DEP_Perm_Ctrl_Cy5_Perm_Low_253100010033_1_3.txt	Cy3	DEP	Perm	Ctrl	DEP_Perm_Ctrl_Cy3_rep2
Cy3_DEP_Perm_Ctrl_Cy5_SDS_PCP_Ctrl_253100010005_2_4.txt	Cy3	DEP	Perm	Ctrl	DEP_Perm_Ctrl_Cy3_rep3
Cy3_AA_Lind_Ctrl_Cy5_DEP_Perm_Ctrl_253100010008_1_2.txt	Cy5	DEP	Perm	Ctrl	DEP_Perm_Ctrl_Cy5_rep1
Cy3_DEP_High_Cy5_DEP_Perm_Ctrl_253100010017_1_1.txt	Cy5	DEP	Perm	Ctrl	DEP_Perm_Ctrl_Cy5_rep2
Cy3_Perm_High_Cy5_DEP_Perm_Ctrl_253100010035_2_1.txt	Cy5	DEP	Perm	Ctrl	DEP_Perm_Ctrl_Cy5_rep3
Cy3_DEP_Perm_SC_Cy5_DEP_High_253100010035_2_2.txt	Cy3	DEP	Perm	SC	DEP_Perm_SC_Cy3_rep1
Cy3_DEP_Perm_SC_Cy5_Perm_High_253100010017_1_2.txt	Cy3	DEP	Perm	SC	DEP_Perm_SC_Cy3_rep2
Cy3_DEP_Perm_SC_Cy5_SDS_PCP_SC_253100010006_1_1.txt	Cy3	DEP	Perm	SC	DEP_Perm_SC_Cy3_rep3
Cy3_AA_Lind_SC_Cy5_DEP_Perm_SC_253100010008_1_3.txt	Cy5	DEP	Perm	SC	DEP_Perm_SC_Cy5_rep1
Cy3_DEP_Low_Cy5_DEP_Perm_SC_253100010033_1_4.txt	Cy5	DEP	Perm	SC	DEP_Perm_SC_Cy5_rep2
Cy3_Perm_Low_Cy5_DEP_Perm_SC_253100010014_2_4.txt	Cy5	DEP	Perm	SC	DEP_Perm_SC_Cy5_rep3
Cy3_Dino_High_Cy5_DCP_High_253100010034_1_4.txt	Cy3	Dino	High	na	Dino_High_na_Cy3_rep1
Cy3_Dino_High_Cy5_DMP_Dino_Ctrl_253100010036_1_4.txt	Cy3	Dino	High	na	Dino_High_na_Cy3_rep2
Cy3_Dino_High_Cy5_DMP_High_253100010023_2_3.txt	Cy3	Dino	High	na	Dino_High_na_Cy3_rep3
Cy3_Dino_Low_Cy5_Dino_High_253100010007_1_1.txt	Cy5	Dino	High	na	Dino_High_na_Cy5_rep1
Cy3_PCP_High_Cy5_Dino_High_253100010009_2_1.txt	Cy5	Dino	High	na	Dino_High_na_Cy5_rep2
Cy3_DMP_Dino_SC_Cy5_Dino_High_253100010017_2_4.txt	Cy5	Dino	High	na	Dino_High_na_Cy5_rep3
Cy3_Dino_Low_Cy5_DCP_Low_253100010036_2_3.txt	Cy3	Dino	Low	na	Dino_Low_na_Cy3_rep1
Cy3_Dino_Low_Cy5_Dino_High_253100010007_1_1.txt	Cy3	Dino	Low	na	Dino_Low_na_Cy3_rep2
Cy3_Dino_Low_Cy5_DMP_Dino_SC_253100010015_2_2.txt	Cy3	Dino	Low	na	Dino_Low_na_Cy3_rep3
Cy3_PCP_Low_Cy5_Dino_Low_253100010009_1_4.txt	Cy5	Dino	Low	na	Dino_Low_na_Cy5_rep1
Cy3_DMP_Low_Cy5_Dino_Low_253100010023_2_2.txt	Cy5	Dino	Low	na	Dino_Low_na_Cy5_rep2
Cy3_DMP_Dino_Ctrl_Cy5_Dino_Low_253100010034_1_1.txt	Cy5	Dino	Low	na	Dino_Low_na_Cy5_rep3
Cy3_DMP_Dino_Ctrl_Cy5_DCP_Fluc_Ctrl_253100010006_2_2.txt	Cy3	DMP	Dino	Ctrl	DMP_Dino_Ctrl_Cy3_rep1
Cy3_DMP_Dino_Ctrl_Cy5_Dino_Low_253100010034_1_1.txt	Cy3	DMP	Dino	Ctrl	DMP_Dino_Ctrl_Cy3_rep2
Cy3_DMP_Dino_Ctrl_Cy5_DMP_Low_253100010018_1_2.txt	Cy3	DMP	Dino	Ctrl	DMP_Dino_Ctrl_Cy3_rep3
Cy3_Dino_High_Cy5_DMP_Dino_Ctrl_253100010036_1_4.txt	Cy5	DMP	Dino	Ctrl	DMP_Dino_Ctrl_Cy5_rep1
Cy3_DMP_High_Cy5_DMP_Dino_Ctrl_253100010017_2_2.txt	Cy5	DMP	Dino	Ctrl	DMP_Dino_Ctrl_Cy5_rep2
Cy3_SDS_PCP_Ctrl_Cy5_DMP_Dino_Ctrl_253100010023_1_4.txt	Cy5	DMP	Dino	Ctrl	DMP_Dino_Ctrl_Cy5_rep3
Cy3_DMP_Dino_SC_Cy5_DCP_Fluc_SC_253100010006_2_3.txt	Cy3	DMP	Dino	SC	DMP_Dino_SC_Cy3_rep1
Cy3_DMP_Dino_SC_Cy5_Dino_High_253100010017_2_4.txt	Cy3	DMP	Dino	SC	DMP_Dino_SC_Cy3_rep2
Cy3_DMP_Dino_SC_Cy5_DMP_High_253100010036_2_1.txt	Cy3	DMP	Dino	SC	DMP_Dino_SC_Cy3_rep3
Cy3_Dino_Low_Cy5_DMP_Dino_SC_253100010015_2_2.txt	Cy5	DMP	Dino	SC	DMP_Dino_SC_Cy5_rep1
Cy3_DMP_Low_Cy5_DMP_Dino_SC_253100010034_1_2.txt	Cy5	DMP	Dino	SC	DMP_Dino_SC_Cy5_rep2
Cy3_SDS_PCP_SC_Cy5_DMP_Dino_SC_253100010009_1_1.txt	Cy5	DMP	Dino	SC	DMP_Dino_SC_Cy5_rep3
Cy3_DMP_High_Cy5_DMP_Dino_Ctrl_253100010017_2_2.txt	Cy3	DMP	High	na	DMP_High_na_Cy3_rep1
Cy3_DMP_High_Cy5_DMP_Low_253100010006_2_4.txt	Cy3	DMP	High	na	DMP_High_na_Cy3_rep2
Cy3_DMP_High_Cy5_Fluc_High_253100010034_1_3.txt	Cy3	DMP	High	na	DMP_High_na_Cy3_rep3
Cy3_SDS_High_Cy5_DMP_High_253100010009_1_3.txt	Cy5	DMP	High	na	DMP_High_na_Cy5_rep1
Cy3_Dino_High_Cy5_DMP_High_253100010023_2_3.txt	Cy5	DMP	High	na	DMP_High_na_Cy5_rep2
Cy3_DMP_Dino_SC_Cy5_DMP_High_253100010036_2_1.txt	Cy5	DMP	High	na	DMP_High_na_Cy5_rep3
Cy3_DMP_Low_Cy5_Dino_Low_253100010023_2_2.txt	Cy3	DMP	Low	na	DMP_Low_na_Cy3_rep1
Cy3_DMP_Low_Cy5_DMP_Dino_SC_253100010034_1_2.txt	Cy3	DMP	Low	na	DMP_Low_na_Cy3_rep2
Cy3_DMP_Low_Cy5_Fluc_Low_253100010036_2_2.txt	Cy3	DMP	Low	na	DMP_Low_na_Cy3_rep3
Cy3_DMP_High_Cy5_DMP_Low_253100010006_2_4.txt	Cy5	DMP	Low	na	DMP_Low_na_Cy5_rep1
Cy3_SDS_Low_Cy5_DMP_Low_253100010009_1_2.txt	Cy5	DMP	Low	na	DMP_Low_na_Cy5_rep2
